"text","label"
"I will kill you!","threatening"
"I will kill you, haha","playful"
"I will kill you with kindness","neutral"
"Stop being rude, or I will hurt you","threatening"
"I'm so mad, I could scream","neutral"
"You're such a loser, haha","playful"
"If you don't stop, I'll end you","threatening"
"I'm exhausted, but I can still take it","neutral"
"I'm going to destroy you","threatening"
"I'll make you regret this","threatening"
"Don't mess with me, I swear I'll hurt you","threatening"
"You're so dumb, haha","playful"
"I can't stand you right now, stop","neutral"
"Just kidding, I would never hurt you!","playful"
"Get out of my way or I'll make you sorry","threatening"
"I could punch a wall right now","neutral"
"You're a joke, haha","playful"
"Be careful, or I'll break you","threatening"
"I'm just kidding, relax","playful"
"You better watch your back","threatening"
"I'm so tired of everything, I could cry","neutral"
"Don't make me angry, or else","threatening"
"I could say some really bad things to you right now","neutral"
"Why do you always act like such a baby?","neutral"
"You're so weak, haha","playful"
"I'm done with this, it's over","neutral"
"You’ll regret saying that to me","threatening"
"I'm just messing around with you","playful"
"Why are you always so serious?","neutral"
"I’ll make sure you pay for this","threatening"
"You're asking for it now","threatening"
"Leave me alone or I’ll snap","threatening"
"I could really hurt you right now, but I won’t","neutral"
"I’m fed up, don’t test me","threatening"
"I'm so mad I could explode","neutral"
"You’re not funny, just stop","neutral"
"Don't push me, I’ll lose it","threatening"
"I’m just playing, don’t take it seriously","playful"
"You should be scared right now","threatening"
"Stop acting like a child, grow up","neutral"
"One more word and I’ll make you regret it","threatening"
"Just let me vent, I’m not serious","neutral"
"Relax, I’m just having fun","playful"
"Stop testing me, I’m not in the mood","threatening"
"I could definitely beat you","threatening"
"I'm just saying things out of frustration, ignore me","neutral"
"I'm not joking around this time","threatening"
"Why do you always act like you know everything?","neutral"
"Leave me alone, or I’ll hurt you","threatening"
"Quit messing with me or you’ll regret it","threatening"
"Stop being so annoying, haha","playful"
"Don’t make me lose my temper","threatening"
"I'm going to snap at some point","neutral"
"Get ready for what’s coming next","threatening"
"You're so annoying, but it’s funny","playful"
"You're lucky I’m not mad at you right now","neutral"
"Don’t make me come over there","threatening"
"I'm going to scream at you until you listen","neutral"
"You don’t want to mess with me today","threatening"
"I’m just joking, no need to worry","playful"
"Don’t act like you’re invincible, you’re not","threatening"
"You’re a joke, stop being so dramatic","playful"
"Mess with me and you’ll see what happens","threatening"
"Quit making me angry, it’s not fun anymore","neutral"
"Stop playing games with me","threatening"
"Go ahead and test me, see what happens","threatening"
"I'm really angry, but I’ll keep it together","neutral"
"I’ll make you cry if you keep it up","threatening"
"Seriously, stop it before I lose it","threatening"
"You're such a clown, haha","playful"
"Stop annoying me, you know I’m not joking","threatening"
"You're so annoying, I could scream","neutral"
"Don’t challenge me, you’ll regret it","threatening"
"I'm not mad, just frustrated","neutral"
"Just stop, I don’t want to hurt you","neutral"
"Why do you always have to be so loud?","neutral"
"You better run while you still can","threatening"
"Stop being so dramatic, it’s just a joke","playful"
"Don’t make me angry, you won’t like it","threatening"
"I'm not saying I’ll hurt you, but I’m close","neutral"
"You’re testing my patience, stop","neutral"
"Quit being so annoying, haha","playful"
"Don’t push me any further","threatening"
"Enough is enough, I’ve had it","neutral"
"Don’t ever talk to me like that again","threatening"
"Just kidding, don’t take it seriously","playful"
"Stop provoking me, it’s not a joke","threatening"
"I'm done, I can't deal with this anymore","neutral"
"Seriously, I’m not playing anymore","threatening"
"I'm so mad right now, I could just scream","neutral"
"Just leave me alone for a while","neutral"
"Stop being such a drama queen","neutral"
"I’ll make you regret that, trust me","threatening"
"Take a joke, it’s not that serious","playful"
"Don't make me unleash my anger","threatening"
"I’m fine, I just need some space","neutral"
